Station_Code,Measurement_Date,RP_Elevation,GS_Elevation,RPWS,WSE,GSWS,QM_Code,NM_Code,CASGEM_Msmt,Agency,Comment
390047N1233685W002,01-30-2012 16:33,405.420,402.920,21.69,383.73,19.19,,,Y,1,"Deep zone"
390047N1233685W002,03-28-2012 12:23,405.420,402.920,18.17,387.25,15.67,,,Y,1,""
390047N1233685W002,04-24-2012 11:37,405.420,402.920,18.34,387.08,15.84,,,Y,1,""
390047N1233685W002,05-02-2012 00:00,405.920,402.920,19.8,386.12,16.8,,,Y,1,""
390047N1233685W002,05-30-2012 11:51,405.420,402.920,24.62,380.8,22.12,,,Y,1,""
390047N1233685W002,07-03-2012 13:17,405.420,402.920,27.66,377.76,25.16,,,Y,1,""
390047N1233685W002,08-23-2012 13:59,405.420,402.920,34.35,371.07,31.85,,,Y,1,"Deep zone"
390047N1233685W002,09-25-2012 13:51,405.420,402.920,34.93,370.49,32.43,,,Y,1,""
390047N1233685W002,10-15-2012 13:02,405.420,402.920,34.26,371.16,31.76,,,Y,1,""
390047N1233685W002,11-27-2012 00:00,405.920,402.920,27.5,378.42,24.5,,,N,1,""
390047N1233685W002,12-10-2012 15:17,405.420,402.920,20.15,385.27,17.65,,,Y,1,"Deep zone"
390047N1233685W002,01-29-2013 13:55,405.420,402.920,19.21,386.21,16.71,,,Y,1,"Deep zone"
390047N1233685W002,02-27-2013 12:12,405.420,402.920,21.47,383.95,18.97,,,Y,1,"Deep zone"
390047N1233685W002,03-27-2013 16:00,405.420,402.920,21.44,383.98,18.94,,,Y,1,""
390047N1233685W002,04-25-2013 00:00,405.920,402.920,24.1,381.82,21.1,,,N,1,""
390047N1233685W002,05-22-2013 12:45,405.420,402.920,27.21,378.21,24.71,,,Y,1,""
390047N1233685W002,07-31-2013 12:51,405.420,402.920,35.81,369.61,33.31,,,Y,1,""
390047N1233685W002,08-27-2013 14:54,405.420,402.920,39.53,365.89,37.03,,,Y,1,""
390047N1233685W002,09-24-2013 14:28,405.420,402.920,37.63,367.79,35.13,,,Y,1,""
390047N1233685W002,10-29-2013 16:47,405.420,402.920,35.25,370.17,32.75,,,Y,1,""
390047N1233685W002,11-14-2013 14:22,405.420,402.920,34.92,370.5,32.42,,,Y,1,""
390047N1233685W002,12-11-2013 00:00,405.920,402.920,32.5,373.42,29.5,,,N,1,""
390047N1233685W002,12-17-2013 12:15,405.420,402.920,32.11,373.31,29.61,,,N,1,""
390047N1233685W002,01-13-2014 16:12,405.420,402.920,30.17,375.25,27.67,,,N,1,""
390047N1233685W002,02-25-2014 14:45,405.420,402.920,26.48,378.94,23.98,,,Y,1,""
390047N1233685W002,03-05-2014 00:00,405.420,402.920,24.6,380.82,22.1,,,Y,1,""
390047N1233685W002,03-17-2014 14:22,405.420,402.920,22.12,383.3,19.62,,,Y,1,""
390047N1233685W002,10-22-2014 00:00,405.920,402.920,35.3,370.62,32.3,,,Y,1,""
390047N1233685W002,03-25-2015 00:00,405.920,402.920,21,384.92,18,,,Y,1,""
390047N1233685W002,10-21-2015 00:00,405.920,402.920,36.7,369.22,33.7,,,Y,1,""
390047N1233685W002,03-17-2016 00:00,405.420,402.920,15.2,390.22,12.7,,,Y,1,""
390047N1233685W002,10-26-2016 00:00,405.420,402.920,32.1,373.32,29.6,,,Y,1,""
390047N1233685W002,03-28-2017 00:00,405.420,402.920,17.1,388.32,14.6,,,Y,1,""
